Phase and Amplitude Scintillation Indices from KHO (78.147,16.038,0.522)

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2313,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma , HHMM
 432420.00, 7, 0, 1, 97.57, 35.97, 48.21,13442.98, -12.390,  0.066,  0.063,  0.039,  0.061,  0.081,  0.103,  0.104,  0.104, 0007
 432420.00,18, 0, 1,299.11, 28.87, 46.58, 9805.97,  -7.796,  0.070,  0.073,  0.047,  0.064,  0.077,  0.095,  0.095,  0.095, 0007
 432420.00,18, 0, 7,299.11, 28.87, 50.74, 9803.82, 151.213,  0.028,  0.056,  0.029,  0.048,  0.060,  0.076,  0.076,  0.076, 0007
 432420.00,23, 0, 1,331.46, 20.96, 44.11, 2326.04,  -4.321,  0.023,  0.129,  0.062,  0.078,  0.093,  0.116,  0.116,  0.116, 0007
 432420.00,23, 0, 7,331.46, 20.96, 49.66, 2326.34,  94.069,  0.020,  0.052,  0.033,  0.050,  0.068,  0.093,  0.093,  0.093, 0007
 432420.00, 8, 0, 1, 58.92, 32.87, 45.94, 5322.49,  -6.780,  0.126,  0.065,  0.051,  0.068,  0.080,  0.098,  0.098,  0.098, 0007
 432420.00, 8, 0, 7, 58.92, 32.87, 51.05, 5249.08,  91.849,  0.000,  0.042,  0.028,  0.048,  0.058,  0.073,  0.073,  0.073, 0007
 432420.00,15, 0, 1,271.65, 38.54, 49.97, 4897.18, -12.770,  0.080,  0.060,  0.032,  0.063,  0.086,  0.109,  0.109,  0.109, 0007
 432420.00, 5, 0, 1,217.55, 28.79, 47.42,13195.78, -13.459,  0.111,  0.114,  0.043,  0.063,  0.087,  0.118,  0.118,  0.118, 0007
 432420.00,30, 0, 1,137.71, 55.28, 51.23,10236.34, -17.352,  0.026,  0.040,  0.027,  0.059,  0.078,  0.100,  0.100,  0.100, 0007
